content,label,EventId
172.18.81.37 BPH001063 人行前置机A到人行2900B异常，172.18.81.37 BPH001073 人行前置机B到人行2900B异常,前置机连通性异常,82
172.18.81.36 BPH001063 人行前置机A到人行2900B异常，172.18.81.36 BPH001073 人行前置机B到人行2900B异常,前置机连通性异常,82
172.18.81.37 BPH001067 人行2900B节点维护,节点维护,84
172.18.81.36 BPH001067 人行2900B节点维护,节点维护,84
127.0.0.1Zabbix queue over 10 minutes:133More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,52
"备机丢失告警(TBASE_SLAVE_LOST_WARNING), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 16:13:37, message: The Node(ccs2_80:ccs2_dn001:172.18.163.223:11004) lostes the last synchronous slave. these lost nodes is (172.18.163.222:11004)",备机丢失,87
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 16:13:34, message: DOSS from agent:found db:172.18.163.223:11004 status abnormal, conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,80
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-10 16:13:34, message: DOSS from agent:found db:[ccs2_80:ccs2_dn001:172.18.163.223:11004:dn master] status abnormal, status:CXZM_DB_STATUS_QUERY_EXCEPTION(9), conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,81
Nov  9 09:18:15 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Down-]Up,IP SLA状态变更,94
172.18.80.2 FXPS001033 人行PMTS前置异常,前置机服务异常,83
172.18.80.1 FXPS001033 人行PMTS前置异常,前置机服务异常,83
172.18.81.37 BPH001068 人行0030A节点维护,节点维护,84
172.18.81.36 BPH001068 人行0030A节点维护,节点维护,84
172.18.80.2 FXPS001034 人行PMTS前置异常,前置机服务异常,83
172.18.80.1 FXPS001034 人行PMTS前置异常,前置机服务异常,83
172.18.81.37 BPH001065 人行前置机A到人行0030B异常，172.18.81.37 BPH001075 人行前置机B到人行0030B异常,前置机连通性异常,82
172.18.81.36 BPH001065 人行前置机A到人行0030B异常，172.18.81.36 BPH001075 人行前置机B到人行0030B异常,前置机连通性异常,82
172.18.81.37 BPH001069 人行0030B节点维护,节点维护,84
172.18.81.36 BPH001069 人行0030B节点维护,节点维护,84
172.18.80.1 FXPS001032 人行PMTS前置异常,前置机服务异常,83
172.18.80.2 FXPS001032 人行PMTS前置异常,前置机服务异常,83
武汉分行串口服务器通信状态:断线报警,通讯异常,74
"2023年11月04日 16:57:54,东亚银行张江数据中心,二层VRV空调监测,KT2-3(测试间),VRV空调报警,状态告警,值为1",空调关机报警,103
"2023年11月04日 16:57:52,东亚银行张江数据中心,二层VRV空调监测,KT2-4(测试间),VRV空调报警,状态告警,值为1",空调关机报警,103
"2023年11月04日 16:57:28,东亚银行张江数据中心,一层VRV空调监测2,KT2-2(电信接入机房),VRV空调报警,状态告警,值为1",空调关机报警,104
"2023年11月04日 16:57:23,东亚银行张江数据中心,一层VRV空调监测2,KT2-1(联通接入机房),VRV空调报警,状态告警,值为1",空调关机报警,104
肇庆支行市电输入状态:报警,电源状态异常,106
"TBase存在长事务(LONG_TRANSACTION_MON), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 15:54:37, message: node[ccs2_80:ccs2_dn001:172.18.163.223:11004:37],plane[tbase_cluster],role[1:dn master],type[2],cls_type[TbaseV5_C], slave[2],master[37:SRM:0],sync[0:off],datadir[/data/tbase/user_1/tdata_02/ccs2_80/data/ccs2_dn001],cross_idc_sync[false] exists long transaction",数据库状态异常,118
"TBase存在长事务(LONG_TRANSACTION_MON), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 15:53:37, message: node[ccs2_80:ccs2_dn001:172.18.163.223:11004:37],plane[tbase_cluster],role[1:dn master],type[2],cls_type[TbaseV5_C], slave[2],master[37:SRM:0],sync[0:off],datadir[/data/tbase/user_1/tdata_02/ccs2_80/data/ccs2_dn001],cross_idc_sync[false] exists long transaction",数据库状态异常,118
"TBase存在长事务(LONG_TRANSACTION_MON), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 15:52:37, message: node[ccs2_80:ccs2_dn001:172.18.163.223:11004:37],plane[tbase_cluster],role[1:dn master],type[2],cls_type[TbaseV5_C], slave[2],master[37:SRM:0],sync[0:off],datadir[/data/tbase/user_1/tdata_02/ccs2_80/data/ccs2_dn001],cross_idc_sync[false] exists long transaction",数据库状态异常,118
"TBase存在长事务(LONG_TRANSACTION_MON), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 15:51:37, message: node[ccs2_80:ccs2_dn001:172.18.163.223:11004:37],plane[tbase_cluster],role[1:dn master],type[2],cls_type[TbaseV5_C], slave[2],master[37:SRM:0],sync[0:off],datadir[/data/tbase/user_1/tdata_02/ccs2_80/data/ccs2_dn001],cross_idc_sync[false] exists long transaction",数据库状态异常,118
"TBase存在长事务(LONG_TRANSACTION_MON), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 15:50:37, message: node[ccs2_80:ccs2_dn001:172.18.163.223:11004:37],plane[tbase_cluster],role[1:dn master],type[2],cls_type[TbaseV5_C], slave[2],master[37:SRM:0],sync[0:off],datadir[/data/tbase/user_1/tdata_02/ccs2_80/data/ccs2_dn001],cross_idc_sync[false] exists long transaction",数据库状态异常,118
"TBase存在长事务(LONG_TRANSACTION_MON), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 15:49:37, message: node[ccs2_80:ccs2_dn001:172.18.163.223:11004:37],plane[tbase_cluster],role[1:dn master],type[2],cls_type[TbaseV5_C], slave[2],master[37:SRM:0],sync[0:off],datadir[/data/tbase/user_1/tdata_02/ccs2_80/data/ccs2_dn001],cross_idc_sync[false] exists long transaction",数据库状态异常,118
"TBase存在长事务(LONG_TRANSACTION_MON), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 15:48:37, message: node[ccs2_80:ccs2_dn001:172.18.163.223:11004:37],plane[tbase_cluster],role[1:dn master],type[2],cls_type[TbaseV5_C], slave[2],master[37:SRM:0],sync[0:off],datadir[/data/tbase/user_1/tdata_02/ccs2_80/data/ccs2_dn001],cross_idc_sync[false] exists long transaction",数据库状态异常,118
"TBase存在长事务(LONG_TRANSACTION_MON), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 15:47:37, message: node[ccs2_80:ccs2_dn001:172.18.163.223:11004:37],plane[tbase_cluster],role[1:dn master],type[2],cls_type[TbaseV5_C], slave[2],master[37:SRM:0],sync[0:off],datadir[/data/tbase/user_1/tdata_02/ccs2_80/data/ccs2_dn001],cross_idc_sync[false] exists long transaction",数据库状态异常,118
"TBase存在长事务(LONG_TRANSACTION_MON), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 15:46:37, message: node[ccs2_80:ccs2_dn001:172.18.163.223:11004:37],plane[tbase_cluster],role[1:dn master],type[2],cls_type[TbaseV5_C], slave[2],master[37:SRM:0],sync[0:off],datadir[/data/tbase/user_1/tdata_02/ccs2_80/data/ccs2_dn001],cross_idc_sync[false] exists long transaction",数据库状态异常,118
"TBase存在长事务(LONG_TRANSACTION_MON), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 15:45:37, message: node[ccs2_80:ccs2_dn001:172.18.163.223:11004:37],plane[tbase_cluster],role[1:dn master],type[2],cls_type[TbaseV5_C], slave[2],master[37:SRM:0],sync[0:off],datadir[/data/tbase/user_1/tdata_02/ccs2_80/data/ccs2_dn001],cross_idc_sync[false] exists long transaction",数据库状态异常,118
"TBase存在长事务(LONG_TRANSACTION_MON), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 15:44:37, message: node[ccs2_80:ccs2_dn001:172.18.163.223:11004:37],plane[tbase_cluster],role[1:dn master],type[2],cls_type[TbaseV5_C], slave[2],master[37:SRM:0],sync[0:off],datadir[/data/tbase/user_1/tdata_02/ccs2_80/data/ccs2_dn001],cross_idc_sync[false] exists long transaction",数据库状态异常,118
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 11:46:06, message: DOSS from agent:found db:172.18.163.223:11004 status abnormal, conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,80
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 11:46:06, message: DOSS from agent:found db:[ccs2_80:ccs2_dn001:172.18.163.223:11004:dn master] status abnormal, status:CXZM_DB_STATUS_QUERY_EXCEPTION(9), conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,81
"备机丢失告警(TBASE_SLAVE_LOST_WARNING), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 11:31:37, message: The Node(ccs2_80:ccs2_dn001:172.18.163.223:11004) lostes the last synchronous slave. these lost nodes is (172.18.163.222:11004)",备机丢失,87
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 11:26:32, message: DOSS from agent:found db:172.18.163.223:11004 status abnormal, conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,80
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 11:26:32, message: DOSS from agent:found db:[ccs2_80:ccs2_dn001:172.18.163.223:11004:dn master] status abnormal, status:CXZM_DB_STATUS_QUERY_EXCEPTION(9), conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,81
Nov  3 11:19:49 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Down-]Up,IP SLA状态变更,94
Nov  3 10:55:52 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Down-]Up,IP SLA状态变更,94
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 10:54:55, message: DOSS from agent:found db:172.18.163.223:11004 status abnormal, conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,80
"备机丢失告警(TBASE_SLAVE_LOST_WARNING), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 10:54:57, message: The Node(ccs2_80:ccs2_dn001:172.18.163.223:11004) lostes the last synchronous slave. these lost nodes is (172.18.163.221:11004)",备机丢失,87
"DB实例状态异常告警(TBASE_NODE_STATUS_EXCEPTION), cluster: ccs2_80, ip: 172.18.163.223, port: 11004, timestamp: 2023-11-03 10:54:55, message: DOSS from agent:found db:[ccs2_80:ccs2_dn001:172.18.163.223:11004:dn master] status abnormal, status:CXZM_DB_STATUS_QUERY_EXCEPTION(9), conn_status:CXZM_DB_STATUS_EXCEPTION(3), pgctl_status:CXZM_DB_STATUS_RUNNING(2)",数据库状态异常,81
Nov  3 10:55:02 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Down-]Up,IP SLA状态变更,94
Nov  3 10:54:42 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Up-]Down,IP SLA状态变更,95
Nov  3 10:51:26 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Down-]Up,IP SLA状态变更,94
Nov  3 10:51:06 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Up-]Down,IP SLA状态变更,95
Nov  3 10:50:16 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Down-]Up,IP SLA状态变更,94
"128.18.163.178Available memory:2.21 MB服务器 PLSMSAP3 上可用内存小于20M, 当前值为(2.21 MB)",内存不足,128
"128.18.163.178Free swap space in %:1.27 %swap使用率过高, 当前剩余值为(1.27 %)",swap使用率高,129
"128.18.163.178Free swap space in %:13.76 %PLSMSAP3 swap使用率过高, 当前剩余值为(13.76 %)",swap使用率高,130
青岛分行串口服务器通信状态:断线报警,通讯异常,74
乌鲁木齐分行UPS市电输入开关状态:报警,市电停电报警,144
Zabbix servertotal agent ping:10.168.128.2|total agent ping,网络线路异常,152
大连分行市电状态:报警,市电停电报警,153
"2023年10月30日 08:21:16,东亚银行张江数据中心,主机房一空调15,一级报警,一级报警,状态告警,值为1",水冷空调报警,77
"2023年10月30日 08:20:42,东亚银行张江数据中心,主机房一空调15,回路2低压,回路2低压报警,状态告警,值为1",空调关机报警,158
浦西5楼机房串口服务器通信状态:断线报警,通讯异常,163
128.21.1.100Host name of Zabbix agent running:BEANET-IMCHost name of Zabbix agent was changed on PWNETJUMP1 BEANET-IMC,主机名变更,164
128.21.1.36Host name of Zabbix agent running:PWNETJUMP1Host name of Zabbix agent was changed on Beanet-iMC PWNETJUMP1,主机名变更,164
EAST系统批处理告警：SH-IMAS-GET-TYJDJC Ended not OK,批量作业执行出错,167
EAST系统批处理告警：SH-IMAS-GET-TYJDYE Ended not OK,批量作业执行出错,167
EAST系统批处理告警：SH-IMAS-GET-MRFSYE Ended not OK,批量作业执行出错,167
EAST系统批处理告警：SH-IMAS-GET-TYCKJC Ended not OK,批量作业执行出错,167
哈尔滨分行串口服务器通信状态:断线报警,通讯异常,74
EAST系统批处理告警：SH-IMAS-GET-TYCKYE Ended not OK,批量作业执行出错,167
EAST系统批处理告警：SH-IMAS-GET-MRFSFS Ended not OK,批量作业执行出错,167
EAST系统批处理告警：SH-IMAS-GET-TYJDFS Ended not OK,批量作业执行出错,167
EAST系统批处理告警：SH-IMAS-GET-DGKHXX Ended not OK,批量作业执行出错,167
EAST系统批处理告警：SH-IMAS-GET-MRFSJC Ended not OK,批量作业执行出错,167
大连分行串口服务器通信状态:断线报警,通讯异常,74
EAST系统批处理告警：SH-IMAS-GET-TYCKFS Ended not OK,批量作业执行出错,167
CIPS系统批处理告警：SZ-CIPS-DEP_PutFile Ended not OK,批量作业执行出错,174
128.194.11.1Checksum of /etc/passwd:3966030149/etc/passwd has been changed on pandsdb1,BGP邻接关系异常,187
1028test__172.18.158.226，通讯机连接故障,通讯异常,190
北京分行串口服务器通信状态:断线报警,通讯异常,191
1028test__硬盘池: ob_zone 数据冗余降级,数据冗余降级,202
"1028test__[TDSQL]TDSQL_UAT(/tdsqlzk/set_1695094140_5)11,创建时间(2023-09-19 11:29:00),业务(DAMP数据资产管理平台项目),机器(192.168.180.206:4003[备]);TCP连接状态异常产生告警，判断频率(1/1)，后续10分钟内屏蔽告警;异常策略:!=阈值(0),当前值:-1",连接状态异常,203
拱北支行串口服务器通信状态:断线报警,通讯异常,75
"[TDSQL]TDSQL_PRD(/tdsqlzk/set_1697097621_4),创建时间(2023-10-12 16:00:21),业务(ARV影像自动化识别和查验系统),机器(10.194.50.13:4002[备]);DB重启产生告警，后续10分钟内告警自动屏蔽;异常策略:=阈值(true),当前值:true",数据库发生重启,215
undefined172.18.83.128 ECIF023004 ECIF批量到ECIF支持网络异常,网络线路异常,219
undefined172.18.83.127 ECIF023002 ECIF批量调度到ECIF支持网络异常，172.18.83.127 ECIF023004 ECIF批量到ECIF支持网络异常,网络线路异常,224
undefined172.18.83.128 ECIF023002 ECIF批量调度到ECIF支持网络异常，172.18.83.128 ECIF023004 ECIF批量到ECIF支持网络异常,网络线路异常,224
undefined172.18.83.124 ECIF020001 ECIF网关到ECIF支持网络异常,网络线路异常,219
undefined172.18.83.125 ECIF020001 ECIF网关到ECIF支持网络异常,网络线路异常,219
undefined172.18.83.124 ECIF021002 ECIF客户到ECIF支持网络异常,网络线路异常,219
undefined172.18.83.125 ECIF021002 ECIF客户到ECIF支持网络异常,网络线路异常,219
厦门分行UPS输入状态:报警,UPS电源异常,226
127.0.0.1Zabbix queue over 10 minutes:117More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,52
"YIP内管db状态异常,阀值:9000ms,系统运行异常3次",数据库状态异常,233
undefined10.194.11.12 NDS003001 总行应用到F5卡服务异常,服务状态异常,236
undefined10.194.11.13 NDS003001 总行应用到F5卡服务异常,服务状态异常,236
undefined172.18.58.48 EPCC001108 应用epcc-admin服务异常，172.18.58.48 EPCC001110 应用epcc-check-customization服务异常,服务状态异常,239
undefined172.18.82.31 ICS002003 ICS数据准备31异常,数据准备异常,243
undefined10.194.11.10 NDS003001 总行应用到F5卡服务异常,服务状态异常,236
undefined10.194.11.11 NDS003001 总行应用到F5卡服务异常,服务状态异常,236
undefined172.18.81.37 BPH001020 二代TELLER异常,设备通讯异常,245
undefined172.18.81.36 BPH001020 二代TELLER异常,设备通讯异常,245
"硬件传感器 名称： Switch 1 - Power Supply B, Unknown.1010. 分类： power. 当前状态： shutdown(4) - 传感器处于不可恢复状态中。",电源状态异常,247
"127.0.0.1Utilization of unreachable poller data collector processes, in %:100 %Zabbix unreachable poller processes more than 75% busy",数据采集器负载高,249
"Zabbix serverUtilization of unreachable poller data collector processes, in %:100 %Zabbix unreachable poller processes more than 75% busy",数据采集器负载高,250
Zabbix serverZabbix queue over 10 minutes:2155More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,53
127.0.0.1Zabbix queue over 10 minutes:1784More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,52
"Zabbix serverUtilization of unreachable poller data collector processes, in %:47.53 %Zabbix unreachable poller processes more than 75% busy",数据采集器负载高,250
"127.0.0.1Utilization of unreachable poller data collector processes, in %:49.23 %Zabbix unreachable poller processes more than 75% busy",数据采集器负载高,249
青岛分行艾默生UPS输入电状态:报警,UPS电源异常,251
192.168.160.166Free inodes on / (percentage):0.48 %卷 / 上的空闲节点少于 20%，当前值为 0.48 %,文件系统使用率高,253
192.168.160.166Free inodes on / (percentage):0.48 %卷 / 上的空闲节点少于 10%，当前值为 0.48 %,文件系统使用率高,253
192.168.160.166Free inodes on / (percentage):0.48 %卷 / 上的空闲节点少于 30%，当前值为 0.48 %,文件系统使用率高,253
福州分行UPS电状态:报警,UPS电源异常,226
青岛分行维缔UPS输入电状态:报警,UPS电源异常,252
汕头支行串口服务器通信状态:断线报警,通讯异常,75
汕头支行市电输入状态:报警,电源状态异常,106
10.192.80.120icmp-ping:0icmp-ping 不通,连接状态异常,257
10.192.80.121icmp-ping:0icmp-ping 不通,连接状态异常,257
Oct 26 14:16:12 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Up-]Down,IP SLA状态变更,95
Zabbix serverZabbix queue over 10 minutes:104More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,53
127.0.0.1Zabbix queue over 10 minutes:104More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,52
"128.20.143.215runmqsc-status on SYSTEM.AUTH.DATA.QUEUE:92runmqsc ""SYSTEM.AUTH.DATA.QUEUE"" status is 92",通道状态异常,258
"128.20.143.215runmqsc-status on ERRMSG:183runmqsc ""ERRMSG"" status is 183",通道状态异常,258
"128.20.143.215runmqsc-status on 5022900001_6:116runmqsc ""5022900001_6"" status is 116",通道状态异常,258
"128.20.143.215runmqsc-status on 5022900001_6:32runmqsc ""5022900001_6"" status is 32",通道状态异常,258
"128.20.143.215runmqsc-status on 5022900001_6:33runmqsc ""5022900001_6"" status is 33",通道状态异常,258
Oct 24 16:39:50 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Up-]Down,IP SLA状态变更,95
成都分行串口服务器通信状态:断线报警,通讯异常,74
南京分行串口服务器通信状态:断线报警,通讯异常,74
合肥支行串口服务器通信状态:断线报警,通讯异常,75
杭州分行串口服务器通信状态:断线报警,通讯异常,74
长沙分行串口服务器通信状态:断线报警,通讯异常,74
西安分行12F串口服务器通信状态:断线报警,服务器通信断线,260
深圳分行串口服务器通信状态:断线报警,通讯异常,74
前海支行串口服务器通信状态:断线报警,服务器通信断线,261
东莞支行串口服务器通信状态:断线报警,通讯异常,75
惠州分行串口服务器通信状态:断线报警,通讯异常,74
中山支行串口服务器通信状态:断线报警,通讯异常,75
珠海分行串口服务器通信状态:断线报警,通讯异常,74
顺德支行串口服务器通信状态:断线报警,通讯异常,75
肇庆支行串口服务器通信状态:断线报警,通讯异常,75
佛山支行串口服务器通信状态:断线报警,通讯异常,75
揭阳支行串口服务器通信状态:断线报警,通讯异常,75
广州分行串口服务器通信状态:断线报警,通讯异常,74
"128.20.143.215runmqsc-status on 5022900001_6:26runmqsc ""5022900001_6"" status is 26",通道状态异常,258
乌鲁木齐分行串口服务器通信状态:断线报警,通讯异常,74
昆明分行市电状态:报警,市电停电报警,153
128.20.0.226Free inodes on /data (percentage):19.11 %卷 /data 上的空闲节点少于 30%，当前值为 19.11 %,文件系统使用率高,253
"io平均服务时间(SvctmTimeMax), cluster: postgres, ip: 172.18.163.225, timestamp: 2023-10-21 17:57:11, message: value: 8.00 >= 8",IO服务时间异常,265
128.18.163.228Host name:pltbasemgr02Hostname更改为  pltbasemgr02,主机名变更,266
128.18.163.227Host name:pltbasemgr01Hostname更改为  pltbasemgr01,主机名变更,266
128.18.163.229Host name:pltbasemgr03Hostname更改为  pltbasemgr03,主机名变更,266
127.0.0.1Zabbix queue over 10 minutes:2757More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,52
Zabbix serverZabbix queue over 10 minutes:1781More than 100 items having missing data for more than 10 minutes,Zabbix 队列延迟,53
Oct 20 11:00:57 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Down-]Up,IP SLA状态变更,94
Oct 20 11:00:52 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Up-]Down,IP SLA状态变更,95
10.168.128.16Version of Zabbix agent running:4.2.0Version of Zabbix agent was changed on chnfpch02,agent服务不可用,277
10.168.128.16Host name of Zabbix agent running:Windows hostHost name of Zabbix agent was changed on chnfpch02 Windows host,主机名变更,278
"2023年10月18日 17:13:55,东亚银行张江数据中心,二层主机房漏水监测,漏水定位,机房漏水报警,状态告警,值为17.115",漏水告警,282
"2023年10月18日 16:51:27,东亚银行张江数据中心,二层主机房漏水监测,漏水定位,机房漏水报警,状态告警,值为17.115",漏水告警,282
"2023年10月18日 16:12:26,东亚银行张江数据中心,二层主机房漏水监测,漏水定位,机房漏水报警,状态告警,值为17.115",漏水告警,282
"2023年10月18日 15:19:12,东亚银行张江数据中心,二层主机房漏水监测,漏水定位,机房漏水报警,状态告警,值为23.523",漏水告警,282
"2023年10月18日 15:17:03,东亚银行张江数据中心,网络机房漏水监测,设备通讯状态,网络机房漏水监测通讯失败,状态告警,值为",通讯异常,283
"2023年10月18日 15:17:02,东亚银行张江数据中心,网络机房温湿度,设备通讯状态,网络机房温湿度通讯失败,状态告警,值为",通讯异常,283
"2023年10月18日 15:17:01,东亚银行张江数据中心,二层主机房漏水监测,设备通讯状态,二层主机房漏水监测通讯失败,状态告警,值为",通讯异常,283
"2023年10月18日 14:55:29,东亚银行张江数据中心,二层主机房漏水监测,漏水定位,机房漏水报警,状态告警,值为19.068",漏水告警,282
"2023年10月18日 14:51:27,东亚银行张江数据中心,二层主机房漏水监测,漏水定位,机房漏水报警,状态告警,值为15.786",漏水告警,282
Oct 18 09:12:12 GMT8: %TRACKING-5-STATE: 1 ip sla 1 reachability Down-]Up,IP SLA状态变更,94
